Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4
CT001007,Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa,,,C,,201601012016
CT002008,of the attributes of the national electrical manufacturers association (nema),,,,,,
CT003008,xr-29-2013 standard,,,,,,
DA001007,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,,C,,201101012011
E1001007,"Upper left, eyelid",Upper left eyelid,,,C,,199501011999
E2001007,"Lower left, eyelid",Lower left eyelid,,,C,,199501011999
E3001007,"Upper right, eyelid",Upper right eyelid,,,C,,199501011999
E4001007,"Lower right, eyelid",Lower right eyelid,,,C,,199501011999
EA001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced",,,D,0147,200801012008
EA002008,anti-cancer chemotherapy,,,,,,
EB001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced",,,D,0147,200801012008
EB002008,anti-cancer radiotherapy,,,,,,
EC001007,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio",,,D,0147,200801012008
EC002008,anti-cancer radiotherapy or anti-cancer chemotherapy,,,,,,
ED001007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle,,,D,0145,200801012008
ED002008,for 3 or more consecutive billing cycles immediately prior to and including the,,,,,,
ED003008,current cycle,,,,,,
EE001007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle,,,D,0145,200801012008
EE002008,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,,,,,,
EE003008,including the current cycle,,,,,,
EJ001007,"Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim                                       4273.2,,,D,,199101012000
EJ002008,"hyaluronate, infliximab",,,,,,
EM001007,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)                             3045.7,,,D,,199101011997
EP001007,Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc,,,C,,198701011997
EP002008,treatment (epsdt) program,,,,,,
ER001007,"Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service,,,C,,201901012019
ER002008,department,,,,,,
ET001007,Emergency services,Emergency services,,,C,,198401012002
EX001007,Expatriate beneficiary,Expatriate beneficiary,,,C,,201504012015
EY001007,No physician or other licensed health care provider order for this item or,No md order for item/service,,,C,,200301012003
EY002008,service,,,,,,
F1001007,"Left hand, second digit","Left hand, second digit",,,C,,199501011999
F2001007,"Left hand, third digit","Left hand, third digit",,,C,,199501011999
F3001007,"Left hand, fourth digit","Left hand, fourth digit",,,C,,199501011999
F4001007,"Left hand, fifth digit","Left hand, fifth digit",,,C,,199501011999
F5001007,"Right hand, thumb","Right hand, thumb",,,C,,199501011999
F6001007,"Right hand, second digit","Right hand, second digit",,,C,,199501011999
F7001007,"Right hand, third digit","Right hand, third digit",,,C,,199501011999
F8001007,"Right hand, fourth digit","Right hand, fourth digit",,,C,,199501011999
F9001007,"Right hand, fifth digit","Right hand, fifth digit",,,C,,199501011999
FA001007,"Left hand, thumb","Left hand, thumb",,,C,,199501011999
FB001007,"Item provided without cost to provider, supplier or practitioner, or full",Item provided without cost,,,I,,200601012008
FB002008,"credit received for replaced device (examples, but not limited to, covered",,,,,,
FB003008,"under warranty, replaced due to defect, free samples)",,,,,,
FC001007,Partial credit received for replaced device,"Part credit, replaced device",,,D,0143,200801012008
FP001007,Service provided as part of family planning program,Svc part of family plan pgm,,,C,,198701012005
FQ001007,The service was furnished using audio-only communication technology,Audio-only service,,,C,,202201012022
FR001007,"The supervising practitioner was present through two-way, audio/video",Two-way a/v dir supervision,,,C,,202201012022
FR002008,communication technology,,,,,,
FS001007,Split (or shared) evaluation and management visit,Split or shared e/m visit,,,C,,202201012022
FT001007,Unrelated evaluation and management (e/m) visit on the same day as another e/m,"Separate, unrelated e/m",,,C,,202201012022
FT002008,"visit or during a global procedure (preoperative, postoperative period, or on",,,,,,
FT003008,"the same day as the procedure, as applicable). (report when an e/m visit is",,,,,,
FT004008,"furnished within the global period but is unrelated, or when one or more",,,,,,
FT005008,additional e/m visits furnished on the same day are unrelated),,,,,,
FX001007,X-ray taken using film,X-ray taken using film,,,C,,201701012017
FY001007,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,,,C,,201801012018
G0001007,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an",Telestroke,,,C,,201901012019
G0002008,acute stroke,,,,,,
G1001007,Most recent urr reading of less than 60,Urr reading of less than 60,,,C,,199701011998
G2001007,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,C,,199701011998
G3001007,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,C,,199701011998
G4001007,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,C,,199701011997
G5001007,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,C,,199701011998
G6001007,Esrd patient for whom less than six dialysis sessions have been provided in a,Esrd patient <6 dialysis/mth,,,C,,199805011998
G6002008,month,,,,,,
G7001007,Pregnancy resulted from rape or incest or pregnancy certified by physician as,Payment limits do not apply          35-99             2005.1,,,D,0084,199907011999
G7002008,life threatening,,,,,,
G8001007,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly",Monitored anesthesia care,,,C,0083,199907011999
G8002008,invasive surgical procedure,,,,,,
G9001007,Monitored anesthesia care for patient who has history of severe,Mac for at risk patient,,,C,,199907011999
G9002008,cardio-pulmonary condition,,,,,,
GA001007,"Waiver of liability statement issued as required by payer policy, individual",Liability waiver ind case,,,C,,199501012011
GA002008,case,,,,,,
GB001007,Claim being re-submitted for payment because it is no longer covered under a,Claim resubmitted,,,C,,200201012002
GB002008,global payment demonstration,,,,,,
GC001007,This service has been performed in part by a resident under the direction of a,Resident/teaching phys serv                            3350.5  4116,,,D,,199701012001
GC002008,teaching physician,,,,,,
GD001007,Units of service exceeds medically unlikely edit value and represents,Unit of service > mue value,,,C,,200801012020
GD002008,reasonable and necessary services,,,,,,
GE001007,This service has been performed by a resident without the presence of a,Resident prim care exception                           4116,,,D,,199701011997
GE002008,teaching physician under the primary care exception,,,,,,
GF001007,"Non-physician (e.g. nurse practitioner (np), certified registered nurse",Nonphysician serv c a hosp,,,C,,200304012003
GF002008,"anesthetist (crna), certified registered nurse (crn), clinical nurse specialist",,,,,,
GF003008,"(cns), physician assistant (pa)) services in a critical access hospital",,,,,,
GG001007,Performance and payment of a screening mammogram and diagnostic mammogram on,Payment screen mam + diagmam,,,C,,200201012002
GG002008,"the same patient, same day",,,,,,
GH001007,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,,C,,199810011998
GJ001007,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,,C,,199810011998
GK001007,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,,C,,200201012008
GL001007,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge,","Upgraded item, no charge",,,C,,200201012008
GL002008,no advance beneficiary notice (abn),,,,,,
GM001007,Multiple patients on one ambulance trip,Multiple transports,,,C,,200201012002
GN001007,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,,C,,199901012003
GO001007,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,,C,,199901012003
GP001007,Services delivered under an outpatient physical therapy plan of care,Op pt services,,,C,,199901012003
GQ001007,Via asynchronous telecommunications system,Telehealth store and forward,,,C,,200110012001
GR001007,This service was performed in whole or in part by a resident in a department of,Service by va resident,,,C,,200601012006
GR002008,"veterans affairs medical center or clinic, supervised in accordance with va",,,,,,
GR003008,policy,,,,,,
GS001007,Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo/darbepoietin reduced 25%                           4273.1,,,D,,200601012013
GS002008,response to hematocrit or hemoglobin level,,,,,,
GT001007,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,,D,0073,199901011999
GU001007,"Waiver of liability statement issued as required by payer policy, routine notic",eLiability waiver rout notice,,,C,,201101012011
GV001007,Attending physician not employed or paid under arrangement by the patient's,Attending phys not hospice                             4175-5,,,D,,200201012002
GV002008,hospice provider,,,,,,
GW001007,Service not related to the hospice patient's terminal condition,Service unrelated to term co                           4175-5,,,D,,200201012002
GX001007,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,,,C,,201004012010
GY001007,"Item or service statutorily excluded, does not meet the definition of any",Statutorily excluded,,,S,,200201012007
GY002008,"medicare benefit or, for non-medicare insurers, is not a contract benefit",,,,,,
GZ001007,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary                           2000,,,M,,200201012002
H9001007,Court-ordered,Court-ordered,,,I,,200301012003
HA001007,Child/adolescent program,Child/adolescent program,,,I,,200301012003
HB001007,"Adult program, non geriatric",Adult program non-geriatric,,,I,,200301012003
HC001007,"Adult program, geriatric",Adult program geriatric,,,I,,200301012003
HD001007,Pregnant/parenting women's program,Pregnant/parenting program,,,I,,200301012003
HE001007,Mental health program,Mental health program,,,I,,200301012003
HF001007,Substance abuse program,Substance abuse program,,,I,,200301012003
HG001007,Opioid addiction treatment program,Opioid addiction tx program,,,I,,200301012003
HH001007,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,,,I,,200301012003
HI001007,Integrated mental health and intellectual disability/developmental disabilities,Men hlth intel/dev disab pgm,,,I,,200301012014
HI002008,program,,,,,,
HJ001007,Employee assistance program,Employee assistance program,,,I,,200301012003
HK001007,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,,,I,,200301012003
HL001007,Intern,Intern,,,I,,200301012003
HM001007,Less than bachelor degree level,Less than bachelor degree lv,,,I,,200301012003
HN001007,Bachelors degree level,Bachelors degree level,,,I,,200301012003
HO001007,Masters degree level,Masters degree level,,,I,,200301012003
HP001007,Doctoral level,Doctoral level,,,I,,200301012003
HQ001007,Group setting,Group setting,,,I,,200301012003
HR001007,Family/couple with client present,Family/couple w client prsnt,,,I,,200301012003
HS001007,Family/couple without client present,Family/couple w/o client prs,,,I,,200301012003
HT001007,Multi-disciplinary team,Multi-disciplinary team,,,I,,200301012003
HU001007,Funded by child welfare agency,Child welfare agency funded,,,I,,200301012003
HV001007,Funded state addictions agency,Funded state addiction agncy,,,I,,200301012003
HW001007,Funded by state mental health agency,State mntl hlth agncy funded,,,I,,200301012003
HX001007,Funded by county/local agency,County/local agency funded,,,I,,200301012003
HY001007,Funded by juvenile justice agency,Funded by juvenile justice,,,I,,200301012003
HZ001007,Funded by criminal justice agency,Criminal justice agncy fund,,,I,,200301012003
J1001007,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,,,C,,200601012006
J2001007,"Competitive acquisition program, restocking of emergency drugs after emergency",Cap restock of emerg drugs,,,C,,200601012006
J2002008,administration,,,,,,
J3001007,"Competitive acquisition program (cap), drug not available through cap as",Cap drug unavail thru cap,,,C,,200601012006
J3002008,"written, reimbursed under average sales price methodology",,,,,,
J4001007,Dmepos item subject to dmepos competitive bidding program that is furnished by,Dmepos comp bid furn by hosp,,,C,,201001012010
J4002008,a hospital upon discharge,,,,,,
J5001007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmepos comp bid fur by pt/ot,,,C,,202010012020
J5002008,furnished as part of a physical therapist or occupational therapist,,,,,,
J5003008,professional service,,,,,,
JA001007,Administered intravenously,Administered intravenously,,,C,,200701012007
JB001007,Administered subcutaneously,Administered subcutaneously,,,C,,200701012007
JC001007,Skin substitute used as a graft,Skin substitute graft,,,C,,200901012009
JD001007,Skin substitute not used as a graft,Skin sub not used as a graft,,,C,,200901012009
JE001007,Administered via dialysate,Administered via dialysate,,,C,,201307012013
JF001007,Compounded drug,Compounded drug,,,C,,201504012015
JG001007,"Drug or biological acquired with 340b drug pricing program discount, reported",340b acquired drug,,,C,,201801012025
JG002008,for informational purposes,,,,,,
JK001007,One month supply or less of drug or biological,Drug supply 1 month or less,,,C,,202304012023
JL001007,Three month supply of drug or biological,Drug 3 month supply,,,C,,202304012023
JW001007,Drug amount discarded/not administered to any patient,Discarded drug not administe,,,C,,200301012003
JZ001007,Zero drug amount discarded/not administered to any patient,Zero drug wasted,,,C,,202301012023
K0001007,Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr ext prost functnl lvl 0,,,C,,199301012003
K0002008,potential to ambulate or transfer safely with or without assistance and a,,,,,,
K0003008,prosthesis does not enhance their quality of life or mobility.,,,,,,
K1001007,Lower extremity prosthesis functional level 1 - has the ability or potential to,Lwr ext prost functnl lvl 1,,,C,,199301011997
K1002008,use a prosthesis for transfers or ambulation on level surfaces at fixed,,,,,,
K1003008,cadence. typical of the limited and unlimited household ambulator.,,,,,,
K2001007,Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr ext prost functnl lvl 2,,,C,,199301011997
K2002008,for ambulation with the ability to traverse low level environmental barriers,,,,,,
K2003008,"such as curbs, stairs or uneven surfaces.  typical of the limited community",,,,,,
K2004008,ambulator.,,,,,,
K3001007,Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr ext prost functnl lvl 3,,,C,,199301011997
K3002008,for ambulation with variable cadence.  typical of the community ambulator who,,,,,,
K3003008,has the ability to transverse most environmental barriers and may have,,,,,,
K3004008,"vocational, therapeutic, or exercise activity that demands prosthetic",,,,,,
K3005008,utilization beyond simple locomotion.,,,,,,
K4001007,Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr ext prost functnl lvl 4,,,C,,199301011997
K4002008,"for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting",,,,,,
K4003008,"high impact, stress, or energy levels, typical of the prosthetic demands of the",,,,,,
K4004008,"child, active adult, or athlete.",,,,,,
KA001007,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,,,C,,199401011997
KB001007,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai",m>4 modifiers on claim,,,C,,200301012003
KC001007,Replacement of special power wheelchair interface,Repl special pwr wc intrface,,,C,,200501012005
KD001007,Drug or biological infused through dme,Drug/biological dme infused,,,C,,200401012004
KE001007,Bid under round one of the dmepos competitive bidding program for use with,Bid under round 1 dmepos cb,,,C,,200901012009
KE002008,non-competitive bid base equipment,,,,,,
KF001007,Item designated by fda as class iii device,Fda class iii device,,,C,,200404012004
KG001007,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,,,C,,200707012007
KH001007,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",,,C,,199401011997
KI001007,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,,,C,,199401011997
KJ001007,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months",Dmepos pen pmp or 4-15mo rnt,,,C,,199401011997
KJ002008,four to fifteen,,,,,,
KK001007,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,,,C,,200707012007
KL001007,Dmepos item delivered via mail,Dmepos mailorder comp bid,,,C,,200707012009
KM001007,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,,,C,,199601012001
KN001007,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,,,C,,199601012001
KO001007,Single drug unit dose formulation,Single drug unit dose form,,,C,,199704011997
KP001007,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,,,C,,199704011997
KQ001007,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,,,C,,199704011997
KR001007,"Rental item, billing for partial month",Rental item partial month,,,C,,200201012002
KS001007,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,,,D,0074,199810011998
KT001007,Beneficiary resides in a competitive bidding area and travels outside that,Item from noncontract supply,,,C,,200707012008
KT002008,competitive bidding area and receives a competitive bid item,,,,,,
KU001007,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,,,C,,200707012007
KV001007,Dmepos item subject to dmepos competitive bidding program that is furnished as,"Dmepos item, profession serv",,,C,,200801012008
KV002008,part of a professional service,,,,,,
KW001007,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,,,C,,200801012008
KX001007,Requirements specified in the medical policy have been met,Documentation on file,,,C,,200207012002
KY001007,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,,,C,,200801012008
KZ001007,New coverage not implemented by managed care,New cov not implement by m+c,,,C,,200310012003
L1001007,Provider attestation that the hospital laboratory test(s) is not packaged under,Separately payable lab test,,,C,,201407012017
L1002008,the hospital opps,,,,,,
LC001007,Left circumflex coronary artery,Lft circum coronary artery,,,C,,199701011997
LD001007,Left anterior descending coronary artery,Left ant des coronary artery,,,C,,199701011997
LL001007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Lease/rental (appld to pur),,,C,,198401011997
LL002008,against the purchase price),,,,,,
LM001007,Left main coronary artery,Left main coronary artery,,,C,,201301012013
LR001007,Laboratory round trip,Laboratory round trip,,,C,,198701011997
LS001007,Fda-monitored intraocular lens implant,Fda-monitored iol implant            65-7,,,D,,199101011997
LT001007,Left side (used to identify procedures performed on the left side of the body),Left side,,,C,,198401011997
LU001007,Fractionated payment,Fractionated payment,,,C,,202201012023
M2001007,Medicare secondary payer (msp),Medicare secondary payer,,,C,,200701012007
MA001007,Ordering professional is not required to consult a clinical decision support,Emer med cond susp/confirm,,,C,,202001012025
MA002008,mechanism due to service being rendered to a patient with a suspected or,,,,,,
MA003008,confirmed emergency medical condition,,,,,,
MB001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, insuf internet",,,C,,202001012025
MB002008,mechanism due to the significant hardship exception of insufficient internet,,,,,,
MB003008,access,,,,,,
MC001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, vendor issues",,,C,,202001012025
MC002008,mechanism due to the significant hardship exception of electronic health record,,,,,,
MC003008,or clinical decision support mechanism vendor issues,,,,,,
MD001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, extreme circ",,,C,,202001012025
MD002008,mechanism due to the significant hardship exception of extreme and,,,,,,
MD003008,uncontrollable circumstances,,,,,,
ME001007,The order for this service adheres to appropriate use criteria in the clinical,Order adheres to auc,,,C,,202001012025
ME002008,decision support mechanism consulted by the ordering professional,,,,,,
MF001007,The order for this service does not adhere to the appropriate use criteria in,Order does not adhere to auc,,,C,,202001012025
MF002008,the clinical decision support mechanism consulted by the ordering professional,,,,,,
MG001007,The order for this service does not have applicable appropriate use criteria in,Auc not applicable to order,,,C,,202001012025
MG002008,the qualified clinical decision support mechanism consulted by the ordering,,,,,,
MG003008,professional,,,,,,
MH001007,Unknown if ordering professional consulted a clinical decision support,Auc consult not provided,,,C,,202001012025
MH002008,"mechanism for this service, related information was not provided to the",,,,,,
MH003008,furnishing professional or provider,,,,,,
MS001007,Six month maintenance and servicing fee for reasonable and necessary parts and,6-mo maint/svc fee parts/lbr,,,C,,198901011997
MS002008,labor which are not covered under any manufacturer or supplier warranty,,,,,,
N1001007,Group 1 oxygen coverage criteria met,Group 1 oxygen cov crit met,,,C,,202301012023
N2001007,Group 2 oxygen coverage criteria met,Group 2 oxygen cov crit met,,,C,,202301012023
N3001007,Group 3 oxygen coverage criteria met,Group 3 oxygen cov crit met,,,C,,202301012023
NB001007,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer,,,C,,201101012011
NR001007,New when rented (use the 'nr' modifier when dme which was new at the time of,New when rented,,,C,,198401011997
NR002008,rental is subsequently purchased),,,,,,
NU001007,New equipment,New equipment,,,C,,198401011997
P1001007,A normal healthy patient,Normal healthy patient,,,C,,200601012006
P2001007,A patient with mild systemic disease,Patient w/mild syst disease,,,C,,200601012006
P3001007,A patient with severe systemic disease,Patient w/severe sys disease,,,C,,200601012006
P4001007,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life,,,C,,200601012006
P5001007,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper,,,C,,200601012006
P6001007,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed,,,C,,200601012006
PA001007,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part",,,I,,200907012009
PB001007,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient",,,I,,200907012009
PC001007,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient,,,I,,200907012009
PD001007,Diagnostic or related non diagnostic item or service provided in a wholly owned,Inp admit w/in 3 days,,,C,,201201012012
PD002008,or operated entity to a patient who is admitted as an inpatient within 3 days,,,,,,
PI001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor init tx strat,,,C,,200907012009
PI002008,the initial treatment strategy of tumors that are biopsy proven or strongly,,,,,,
PI003008,suspected of being cancerous based on other diagnostic testing,,,,,,
PL001007,Progressive addition lenses,Progressive addition lenses,,,C,,198901011997
PM001007,Post mortem,Post mortem,,,C,,201401012014
